,index,asin,Brand,Model,title,image,url,Price,Sales,rating
0,0,B0009N5L7K,Motorola,Motorola I265 phone,Motorola I265 phone,https://m.media-amazon.com/images/I/419WBAVDARL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-i265-I265-phone/dp/B0009N5L7K,49.95,7,2.3333333333333335
1,1,B000SKTZ0S,Motorola,MOTOROLA C168i AT&T ,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,https://m.media-amazon.com/images/I/71b+q3ydkIS._AC_UY218_ML3_.jpg,https://www.amazon.com/MOTOROLA-C168i-CINGULAR-PREPAID-GOPHONE/dp/B000SKTZ0S,99.99,22,2.8
2,2,B001DCJAJG,Motorola,Motorola V365 no con,Motorola V365 no contract cellular phone AT&T,https://m.media-amazon.com/images/I/61LYNCVrrKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-V365-contract-cellular-phone/dp/B001DCJAJG,149.99,12,3.75
3,3,B002WTC1NG,Motorola,Motorola Barrage V86,Motorola Barrage V860 Phone (Verizon Wireless),https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,139.99,352,3.9936305732484074
4,4,B0033SFV5A,Samsung,Verizon or PagePlus ,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,64.99,57,3.3529411764705883
5,5,B003FCO9XE,Samsung,Samsung Smooth Veriz,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,99.99,78,3.3870967741935485
6,6,B003P2VNAQ,Samsung,"Samsung Rugby II, Bl","Samsung Rugby II, Black (AT&T)",https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,179.0,70,4.0
7,7,B003W646YK,Motorola,Motorola i570 Nextel,Motorola i570 Nextel iDen PTT rugged black cell phone,https://m.media-amazon.com/images/I/51oFJfZ-LcL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK,79.0,3,2.6666666666666665
8,8,B003XREZ4O,Samsung,"Samsung Gusto, Black","Samsung Gusto, Black (Verizon Wireless)",https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,99.99,16,5.0
9,9,B0046REOWS,Samsung,Samsung T201G Prepai,Samsung T201G Prepaid Phone (Net10),https://m.media-amazon.com/images/I/91zoUJ+sJKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS,64.94,22,4.0
10,10,B004C7NVD0,Samsung,Samsung Convoy SCH-U,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0,199.99,107,3.9587628865979383
11,11,B004GLQTG8,Samsung,Samsung R355C Net 10,Samsung R355C Net 10 Unlimited,https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8,79.99,146,4.0928571428571425
12,12,B006VH79R8,Samsung,Samsung Replenish Pr,Samsung Replenish Prepaid Android Phone (Boost Mobile),https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8,14.99,84,3.828125
13,13,B007LU0HU0,Samsung,Samsung Replenish SP,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0,249.99,10,2.5
14,14,B007X6FFLS,Samsung,Samsung a157 GoPhone,Samsung a157 GoPhone (AT&T),https://m.media-amazon.com/images/I/71Y+FpZYcFL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-a157-GoPhone-AT-T/dp/B007X6FFLS,97.69,305,3.8686131386861313
15,15,B00836Y6B2,Nokia,Nokia Lumia 900 Blac,Nokia Lumia 900 Black Factory Unlocked,https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2,109.98,929,3.5024691358024693
16,16,B0096DERAG,Motorola,Motorola MC75A Hand ,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,https://m.media-amazon.com/images/I/51tGSJTIQmL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Computer-Windows-Mobile-MC75A8-PYFSWQRA9WR/dp/B0096DERAG,499.95,1,1.0
17,17,B0096QYH80,Motorola,Motorola Droid RAZR ,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",https://m.media-amazon.com/images/I/71-afm8RuLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Motorola-Droid-RAZR-Verizon-Wireless/dp/B0096QYH80,349.99,488,3.418831168831169
18,18,B009LRMQTG,Motorola,Telcel America Motor,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,https://m.media-amazon.com/images/I/814kh7KdbtL._AC_UY218_ML3_.jpg,https://www.amazon.com/Telcel-America-Motorola-Pre-Paid-Phone/dp/B009LRMQTG,99.99,196,4.068181818181818
19,19,B00A2V7BA4,Nokia,"Nokia Lumia 920, Bla","Nokia Lumia 920, Black 32GB (AT&T)",https://m.media-amazon.com/images/I/61UTfUPGH1L._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-920-Black-32GB/dp/B00A2V7BA4,209.67,468,3.8384615384615386
20,20,B00A2V7ULY,Nokia,"Nokia Lumia 920, Yel","Nokia Lumia 920, Yellow 32GB (AT&T)",https://m.media-amazon.com/images/I/71kn06zWzvL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-920-Yellow-32GB/dp/B00A2V7ULY,184.18,45,4.208333333333333
21,21,B00A408AF8,Samsung,Samsung Galaxy Expre,"Samsung Galaxy Express, Gray 8GB (AT&T)",https://m.media-amazon.com/images/I/816B5o+yZkL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Express-Gray-8GB/dp/B00A408AF8,389.28,8,5.0
22,22,B00A7F57EM,Nokia,Nokia Lumia 822 16GB,Nokia Lumia 822 16GB Windows Phone Black - Verizon,https://m.media-amazon.com/images/I/81jxGoYUWTL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Lumia-Windows-Phone-Black/dp/B00A7F57EM,204.16,62,4.0
